                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                  1.248,                 1.1092,                 1.4117,                0.64979,                0.59328,                0.60449,                0.30742,                 1.8457,                  1.593,                 1.9826,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.2357,                 1.0883,                 1.4087,                 0.6458,                0.58579,                0.63588,                0.32401,                 1.8308,                  1.581,                 1.9648,               0.000557,               0.000557,               0.000557
                     58,                 1.2223,                 1.1004,                 1.4021,                0.69069,                0.56588,                0.62129,                 0.3056,                 1.8994,                 1.5663,                 2.0304,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.2348,                 1.0812,                 1.3985,                0.64669,                0.62137,                0.63497,                0.32659,                 1.8156,                 1.4423,                 1.9471,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.2115,                 1.0581,                  1.394,                0.69621,                 0.6196,                0.64884,                0.32112,                 1.8614,                 1.4857,                 1.9985,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.1813,                 1.0225,                 1.3712,                0.71031,                0.58623,                0.64078,                0.31101,                 1.8987,                 1.4991,                 2.0465,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.1697,                0.99739,                 1.3592,                0.65446,                0.63588,                0.65217,                0.33672,                 1.8048,                 1.4941,                  1.952,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.1696,                 1.0137,                 1.3603,                0.72221,                0.57883,                 0.6445,                0.35055,                  1.775,                 1.5118,                   1.94,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.1559,                0.98552,                 1.3649,                0.70646,                0.57412,                  0.645,                0.33542,                  1.843,                 1.4507,                 1.9923,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.1489,                0.99175,                 1.3531,                0.70588,                0.61235,                0.65856,                0.33547,                  1.871,                 1.5165,                 2.0153,               0.000458,               0.000458,               0.000458
                     66,                 1.1209,                0.95352,                 1.3334,                0.68866,                0.60342,                0.64655,                0.33598,                 1.8306,                 1.5173,                  1.994,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.1284,                0.95433,                 1.3273,                0.70381,                0.65345,                0.67921,                0.34922,                  1.823,                 1.4289,                 2.0206,             0.00043325,             0.00043325,             0.00043325
                     68,                   1.13,                0.98571,                  1.338,                0.74532,                0.58717,                0.66273,                0.33145,                  1.854,                 1.5068,                 1.9832,             0.00042087,             0.00042087,             0.00042087
                     69,                 1.1026,                0.92857,                 1.3108,                0.70405,                0.64169,                0.67036,                0.35074,                 1.8334,                 1.4814,                 1.9754,              0.0004085,              0.0004085,              0.0004085
                     70,                 1.0918,                 0.9224,                 1.3037,                0.66829,                 0.6379,                0.67203,                0.35305,                 1.7823,                 1.4208,                 1.9328,             0.00039613,             0.00039613,             0.00039613
                     71,                 1.0787,                0.92437,                 1.2966,                0.71781,                0.65972,                0.67149,                0.35588,                 1.8353,                 1.4656,                 1.9797,             0.00038375,             0.00038375,             0.00038375
                     72,                 1.0823,                0.89221,                 1.2915,                0.70062,                0.63891,                0.65254,                 0.3526,                 1.7698,                  1.483,                 1.9497,             0.00037138,             0.00037138,             0.00037138
                     73,                 1.0724,                0.90682,                 1.2906,                0.72834,                 0.5874,                0.65476,                 0.3433,                 1.8067,                 1.4884,                 1.9532,               0.000359,               0.000359,               0.000359
                     74,                 1.0611,                0.89359,                  1.283,                  0.669,                0.62099,                0.65433,                0.35031,                 1.8247,                 1.4492,                 1.9842,             0.00034663,             0.00034663,             0.00034663
                     75,                 1.0641,                0.89571,                 1.2833,                0.78322,                 0.5805,                0.66286,                0.35654,                 1.7675,                 1.3793,                 1.9497,             0.00033425,             0.00033425,             0.00033425
                     76,                 1.0307,                0.85012,                 1.2621,                 0.7467,                0.58833,                0.65537,                0.35103,                  1.791,                 1.4829,                 1.9569,             0.00032188,             0.00032188,             0.00032188
                     77,                 1.0279,                0.84345,                 1.2622,                0.72904,                0.63064,                 0.6796,                0.37009,                 1.7872,                 1.3932,                 1.9481,              0.0003095,              0.0003095,              0.0003095
                     78,                 1.0223,                0.84027,                 1.2617,                0.70437,                0.61832,                0.67187,                0.35718,                 1.8109,                 1.3912,                  1.987,             0.00029713,             0.00029713,             0.00029713
                     79,                 1.0196,                0.84474,                 1.2576,                0.77773,                0.58651,                0.67166,                0.36344,                 1.7977,                 1.4784,                 1.9644,             0.00028475,             0.00028475,             0.00028475
                     80,                 1.0064,                0.83077,                 1.2458,                0.69016,                0.63918,                0.67189,                0.36331,                  1.818,                 1.4439,                 1.9895,             0.00027237,             0.00027237,             0.00027237
                     81,                 0.9978,                 0.8272,                 1.2424,                  0.698,                0.65117,                0.66935,                0.35662,                 1.7612,                 1.4822,                 1.9468,                0.00026,                0.00026,                0.00026
                     82,                0.98796,                0.81746,                  1.237,                0.75462,                0.62936,                0.68191,                0.36715,                 1.7931,                 1.4217,                 1.9452,             0.00024762,             0.00024762,             0.00024762
                     83,                0.98131,                0.80923,                 1.2261,                0.75111,                0.61124,                0.66998,                0.36585,                 1.7874,                 1.4348,                 1.9535,             0.00023525,             0.00023525,             0.00023525
                     84,                0.95751,                0.79342,                 1.2161,                0.73578,                0.63735,                0.68227,                0.36767,                 1.7845,                 1.4469,                 1.9826,             0.00022288,             0.00022288,             0.00022288
